Unnamed: 0,SR684 SR686,SR689,Unnamed: 1,SR697,SR698,SR699,SR700,Uncertainty,BHVO-2g,BHVO-2g GeoREM,BCR-2g,BCR-2g GeoREM
Depth (mbsla),1766.5 1771.5,1779.4,,1800.1,1802.5,1805.7,1807.6,,,,,
Unit,248 248,248,,254,255,256,256,,,,,
